"id","year","season","scheme","state_name","state_code","district_count","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
0,"2018-01-01","Kharif","PMFBY","Andhra Pradesh","28",13.0,835374.0,854000.0,60636.0,693.91,537176.33,14548.64,14577.82,14577.82,68.45,31.48,0.07,4.18,1.54,47.37,46.91,15.36,76.7,7.94,10385.0,43704.28
1,"2018-01-01","Kharif","PMFBY","Assam","18",25.0,24843.0,23772.0,1362.0,17.29,10328.44,188.74,107.82,107.82,90.63,9.34,0.03,4.59,12.92,28.65,53.84,48.74,47.07,4.19,113.0,404.38
2,"2018-01-01","Kharif","PMFBY","Chhattisgarh","22",27.0,1193589.0,1200249.0,168884.0,1996.95,717840.9,14356.82,32338.85,32338.85,87.96,11.94,0.1,9.41,24.11,59.87,6.61,20.57,59.44,19.99,10994.0,79034.52
3,"2018-01-01","Kharif","PMFBY","Goa","30",2.0,322.0,343.0,1.0,0.28,328.18,3.34,0.02,0.02,77.62,22.38,-0.0,0.0,33.72,0.58,65.7,1.45,98.26,0.29,18.0,3.37
4,"2018-01-01","Kharif","PMFBY","Gujarat","24",2.0,53.0,53.0,0.0,0.05,19.59,0.89,0.43,0.43,96.23,3.77,-0.0,0.0,0.0,35.85,64.15,32.08,67.92,0.0,5.0,1.74
5,"2018-01-01","Kharif","PMFBY","Haryana","6",22.0,648116.0,718250.0,6842.0,990.25,696333.25,13926.47,18113.53,26092.13,92.52,7.43,0.05,1.06,0.13,20.64,78.17,15.99,63.17,20.84,6781.0,58132.13
6,"2018-01-01","Kharif","PMFBY","Himachal Pradesh","2",10.0,83816.0,87590.0,1147.0,32.2,9661.05,168.8,10.73,10.73,92.39,7.57,0.04,5.89,2.34,10.01,81.76,36.06,51.44,12.5,126.0,190.26
7,"2018-01-01","Kharif","PMFBY","Jammu And Kashmir","1",10.0,84444.0,85268.0,2559.0,63.49,56514.67,1130.29,1822.68,1822.68,96.43,3.52,0.05,5.7,2.86,8.2,83.24,28.8,54.54,16.66,148.0,4775.65
8,"2018-01-01","Kharif","PMFBY","Jharkhand","20",24.0,961910.0,142899.0,1107773.0,588.53,327706.4,0.0,16680.95,23193.88,74.97,24.96,0.07,5.9,26.36,52.72,15.02,13.33,83.78,2.89,4339.0,39874.83
9,"2018-01-01","Kharif","PMFBY","Karnataka","29",30.0,2111355.0,663419.0,1447936.0,2.24,8.64,0.19,0.72,0.72,81.16,18.84,0.0,4.42,2.91,20.47,72.2,19.91,51.65,28.44,21141.0,1.63
10,"2018-01-01","Kharif","PMFBY","Kerala","32",14.0,6618.0,7352.0,15.0,7.01,5661.56,122.3,66.46,66.46,57.23,39.0,3.77,0.96,0.14,25.26,73.64,40.6,47.58,11.82,395.0,255.22
11,"2018-01-01","Kharif","PMFBY","Madhya Pradesh","23",51.0,3012167.0,3412562.0,129254.0,6988.57,2508408.35,51430.06,171178.26,171178.26,87.31,12.54,0.15,6.02,14.05,53.04,26.89,17.11,54.17,28.72,19455.0,393786.58
12,"2018-01-01","Kharif","PMFBY","Maharashtra","27",34.0,4593623.0,1539029.0,8395970.0,5675.5,1980272.67,50357.99,185614.11,185614.11,82.41,17.56,0.03,4.5,1.72,35.46,58.32,15.46,71.8,12.74,2137.0,421586.21
13,"2018-01-01","Kharif","PMFBY","Odisha","21",30.0,1784618.0,1752130.0,278546.0,1431.12,838532.18,16809.34,47694.87,47694.87,87.08,12.88,0.04,10.73,11.83,55.78,21.66,10.98,84.59,4.43,7009.0,112199.08
14,"2018-01-01","Kharif","PMFBY","Puducherry","34",1.0,1.0,2.0,0.0,0.0,1.0,0.02,0.04,0.04,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,1.0,0.1
15,"2018-01-01","Kharif","PMFBY","Rajasthan","8",33.0,2053759.0,4264046.0,5621.0,4770.18,1522924.06,34330.02,105848.24,105848.24,88.84,10.95,0.21,8.65,7.09,62.14,22.12,18.42,44.87,36.71,11290.0,246026.5
16,"2018-01-01","Kharif","PMFBY","Sikkim","11",4.0,216.0,210.0,31.0,0.11,132.53,3.13,0.0,0.0,85.06,14.94,-0.0,3.73,27.8,52.7,15.77,56.02,38.59,5.39,41.0,3.13
17,"2018-01-01","Kharif","PMFBY","Tamil Nadu","33",30.0,146966.0,96613.0,132665.0,153.41,103013.72,2651.2,2094.05,2094.05,83.43,16.5,0.07,5.57,0.57,46.43,47.43,13.96,76.96,9.08,9518.0,6839.3
18,"2018-01-01","Kharif","PMFBY","Telangana","36",30.0,451891.0,420270.0,64227.0,468.58,364127.06,7739.14,7984.81,7984.81,71.43,28.51,0.06,9.13,7.72,54.41,28.74,12.99,76.87,10.14,7672.0,23708.76
19,"2018-01-01","Kharif","PMFBY","Uttar Pradesh","9",75.0,2777358.0,3110368.0,84257.0,2833.84,1091284.94,21825.55,30135.31,30135.31,91.7,8.25,0.05,7.18,0.6,29.05,63.17,27.98,61.35,10.67,51979.0,82096.17
20,"2018-01-01","Kharif","PMFBY","Uttarakhand","5",13.0,87789.0,79508.0,15829.0,55.89,39336.16,470.92,44.13,44.13,91.41,8.55,0.04,8.21,11.07,12.94,67.78,20.06,72.48,7.46,219.0,559.18
21,"2018-01-01","Kharif","PMFBY","West Bengal","19",22.0,1908485.0,1513145.0,960267.0,1021.22,636672.08,0.0,5816.36,17997.3,88.71,11.27,0.02,9.97,1.35,7.85,80.83,26.12,61.74,12.14,3331.0,23813.66
22,"2018-01-01","Kharif","WBCIS","Andhra Pradesh","28",9.0,722658.0,734753.0,19983.0,1161.77,569222.9,12190.72,28842.15,28842.15,68.82,31.12,0.06,6.58,3.17,49.92,40.33,15.18,65.8,19.02,353.0,69875.02
23,"2018-01-01","Kharif","WBCIS","Chhattisgarh","22",27.0,6914.0,2688.0,6177.0,6.21,6336.68,316.83,1202.41,1202.41,90.41,9.55,0.04,3.5,29.19,49.79,17.52,5.76,73.66,20.58,325.0,2721.65
24,"2018-01-01","Kharif","WBCIS","Himachal Pradesh","2",8.0,9159.0,9450.0,171.0,1.41,1476.5,73.82,40.19,40.19,93.57,6.4,0.03,12.07,1.38,13.31,73.24,45.17,51.79,3.04,33.0,154.2
25,"2018-01-01","Kharif","WBCIS","Karnataka","29",30.0,193618.0,160458.0,33160.0,0.09,1.14,0.06,0.14,0.14,85.54,14.46,-0.0,2.13,4.14,17.16,76.57,17.73,40.11,42.16,10368.0,0.35
26,"2018-01-01","Kharif","WBCIS","Kerala","32",12.0,17469.0,17747.0,1446.0,13.62,6854.47,176.84,431.31,431.31,73.05,26.69,0.26,1.2,0.39,62.59,35.82,25.08,54.35,20.57,347.0,1039.46
27,"2018-01-01","Kharif","WBCIS","Madhya Pradesh","23",48.0,113935.0,125770.0,2527.0,80.89,74287.77,3714.39,2476.29,2476.29,85.55,14.37,0.08,2.19,30.4,51.77,15.64,18.43,61.6,19.97,466.0,8666.97
28,"2018-01-01","Kharif","WBCIS","Maharashtra","27",25.0,126052.0,64791.0,70865.0,119.4,130617.57,6530.88,30036.77,30036.77,85.09,14.86,0.05,16.95,0.6,17.59,64.86,12.26,63.18,24.56,802.0,66604.42
29,"2018-01-01","Kharif","WBCIS","Rajasthan","8",16.0,35103.0,36682.0,3.0,24.45,24273.01,1213.65,1905.72,1905.72,90.8,9.09,0.11,7.35,6.71,66.02,19.92,25.93,42.55,31.52,16.0,5025.09
30,"2018-01-01","Kharif","WBCIS","Telangana","36",29.0,121208.0,111869.0,12557.0,123.79,115052.77,5752.64,10465.39,10465.39,71.24,28.69,0.07,8.62,16.47,50.32,24.59,14.24,73.56,12.2,468.0,26683.42
31,"2018-01-01","Kharif","WBCIS","Uttar Pradesh","9",11.0,4775.0,4901.0,1.0,2.56,2854.93,142.75,223.2,223.2,91.68,8.26,0.06,1.45,0.16,19.07,79.32,16.16,76.17,7.67,53.0,589.15
32,"2018-01-01","Kharif","WBCIS","Uttarakhand","5",11.0,36691.0,38557.0,3631.0,20.72,16657.4,832.87,1408.15,1408.15,96.82,3.16,0.02,16.14,11.84,8.79,63.23,14.08,83.16,2.76,106.0,3649.17
33,"2018-01-01","Kharif","WBCIS","West Bengal","19",9.0,789.0,788.0,10.0,0.05,248.04,12.4,15.23,15.23,89.97,10.03,0.0,2.76,0.0,1.88,95.36,47.99,48.37,3.64,22.0,42.86
34,"2018-01-01","Rabi","PMFBY","Andhra Pradesh","28",13.0,476549.0,138326.0,663264.0,727.64,350471.71,5518.72,15664.39,15664.39,71.39,28.58,0.03,5.15,0.98,32.51,61.36,15.22,72.53,12.25,6389.0,36847.5
35,"2018-01-01","Rabi","PMFBY","Assam","18",24.0,46177.0,0.0,49721.0,32.35,21676.67,431.49,249.09,249.09,86.24,13.73,0.03,2.21,3.62,4.56,89.61,18.17,61.64,20.19,103.0,929.67
36,"2018-01-01","Rabi","PMFBY","Chhattisgarh","22",25.0,168906.0,136405.0,54350.0,273.05,87966.92,1319.5,2774.53,2774.53,89.33,10.55,0.12,7.62,11.9,72.28,8.2,19.21,58.35,22.44,3800.0,6868.56
37,"2018-01-01","Rabi","PMFBY","Goa","30",1.0,1.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.01
38,"2018-01-01","Rabi","PMFBY","Gujarat","24",12.0,141.0,181.0,86.0,0.23,90.79,2.2,0.59,0.59,89.51,10.49,-0.0,3.0,1.12,85.02,10.86,0.37,44.94,54.69,56.0,3.38
39,"2018-01-01","Rabi","PMFBY","Haryana","6",22.0,673518.0,770958.0,4284.0,1093.16,697118.42,10247.23,8533.72,8533.72,92.3,7.64,0.06,1.03,0.12,21.24,77.61,16.41,61.49,22.1,6818.0,27314.67
40,"2018-01-01","Rabi","PMFBY","Himachal Pradesh","2",10.0,86482.0,87394.0,895.0,33.57,10069.41,151.04,347.86,347.86,92.42,7.55,0.03,5.77,2.43,10.19,81.61,34.61,52.89,12.5,131.0,846.76
41,"2018-01-01","Rabi","PMFBY","Jammu And Kashmir","1",10.0,66496.0,67002.0,537.0,48.23,38580.44,578.71,1202.19,1202.19,96.44,3.52,0.04,6.38,3.14,3.8,86.68,32.34,50.4,17.26,145.0,2983.09
42,"2018-01-01","Rabi","PMFBY","Jharkhand","20",24.0,72848.0,72781.0,2337.0,61.7,31421.25,453.66,348.13,348.13,86.57,13.37,0.06,14.3,23.06,41.39,21.25,23.01,72.22,4.77,2647.0,1149.92
43,"2018-01-01","Rabi","PMFBY","Karnataka","29",30.0,564692.0,64891.0,499801.0,0.73,2.43,0.04,0.18,0.18,84.16,15.84,0.0,3.16,1.85,16.6,78.39,15.78,46.11,38.11,9088.0,0.39
44,"2018-01-01","Rabi","PMFBY","Kerala","32",14.0,7694.0,8701.0,83.0,8.19,7727.94,142.37,95.39,95.39,59.27,38.93,1.8,0.5,0.06,18.39,81.05,38.04,54.35,7.61,450.0,333.15
