State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andaman and Nicobar","North and Middle Andaman ",Mayabandar,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/09/2024,50,80,60
"Andaman and Nicobar","North and Middle Andaman ",Mayabandar,Coconut,Coconut,FAQ,30/09/2024,10,20,15
"Andaman and Nicobar","North and Middle Andaman ",Mayabandar,"Leafy Vegetable","Leafy Vegetables",FAQ,30/09/2024,30,50,40
"Andaman and Nicobar","North and Middle Andaman ",Mayabandar,Papaya,Papaya,Medium,30/09/2024,30,50,40
"Andhra Pradesh",Chittor,Vayalapadu,Tomato,Local,FAQ,30/09/2024,5600,6000,5800
"Andhra Pradesh",Kurnool,Adoni,"Castor Seed","Castor seed",FAQ,30/09/2024,4800,6150,6116
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 1",FAQ,30/09/2024,4950,5250,5100
Assam,Barpeta,"Barpeta Road",Banana,Besrai,Local,30/09/2024,1500,4500,2800
Assam,Barpeta,"Barpeta Road",Cabbage,Cabbage,Local,30/09/2024,1500,1700,1700
Assam,Barpeta,"Barpeta Road",Lemon,Lemon,Local,30/09/2024,1200.6,1334,1334
Assam,Cachar,Sonabarighat,"Bhindi(Ladies Finger)",Bhindi,Local,30/09/2024,4300,4400,4300
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,30/09/2024,2800,2900,2800
Assam,Cachar,Sonabarighat,Cauliflower,Cauliflower,Local,30/09/2024,6400,6500,6400
Assam,Goalpara,"Darangiri Banana Market",Capsicum,Capsicum,Local,30/09/2024,2400,2800,2600
Assam,Goalpara,"Darangiri Banana Market",Tomato,Tomato,Local,30/09/2024,4000,4500,4500
Assam,Golaghat,Golaghat,Cabbage,Cabbage,Local,30/09/2024,2200,2400,2400
Assam,Jorhat,Jorhat,Ginger(Green),"Green Ginger",Local,30/09/2024,7000,8000,7000
Assam,Jorhat,Jorhat,Lemon,Lemon,Local,30/09/2024,1200.6,1334,1334
Assam,"Karbi Anglong",Sariahjan,Cauliflower,Cauliflower,Local,30/09/2024,7000,8000,8000
Assam,"Karbi Anglong",Sariahjan,Pumpkin,Pumpkin,Local,30/09/2024,1600,1800,1600
Assam,Kokrajhar,Serfanguri,"Bhindi(Ladies Finger)",Bhindi,Local,30/09/2024,2600,3000,2800
Assam,Kokrajhar,Serfanguri,Capsicum,Capsicum,Local,30/09/2024,2500,2800,2600
Assam,Lakhimpur,"Anand Bazar",Cabbage,Cabbage,Local,30/09/2024,1800,2200,2200
Assam,Lakhimpur,"Anand Bazar",Lemon,Lemon,Local,30/09/2024,867.1,933.8,933.8
Assam,Lakhimpur,"Anand Bazar",Tomato,Tomato,Local,30/09/2024,4000,4200,4200
Assam,MORIGAON,"Jagiroad Dry Fish Market",Cabbage,Cabbage,Local,30/09/2024,1700,2000,1800
Assam,Nagaon,Haibargaon,Capsicum,Capsicum,Local,30/09/2024,2500,2600,2500
Assam,Sibsagar,Sibsagar,Capsicum,Capsicum,Local,30/09/2024,3200,3500,3300
Assam,Sonitpur,Dhekiajuli,"French Beans (Frasbean)","French Beans (Frasbean)",Local,30/09/2024,6000,6500,6500
Bihar,Bhojpur,Piro,Onion,Medium,FAQ,30/09/2024,4500,4600,4550
Bihar,Kishanganj,Bahadurganj,"Red Gram",AL-15,FAQ,30/09/2024,7400,7800,7600
Bihar,Sheikhpura,Shekhpura,Wheat,"147 Average",FAQ,30/09/2024,2600,2800,2700
Chattisgarh,Bijapur,Bhopalpattnam,"Mahua Seed(Hippe seed)",Other,FAQ,30/09/2024,2000,2500,2200
Chattisgarh,Bilaspur,Tiphra,"Bitter gourd","Bitter Gourd",FAQ,30/09/2024,3000,3200,3100
Chattisgarh,Bilaspur,Tiphra,Onion,Other,FAQ,30/09/2024,4000,4200,4100
Chattisgarh,Bilaspur,Tiphra,Pomegranate,Other,Large,30/09/2024,14000,14500,14300
Chattisgarh,Bilaspur,Tiphra,Pumpkin,Other,FAQ,30/09/2024,3200,3400,3300
Chattisgarh,Janjgir,Champa,Paddy(Dhan)(Common),Paddy,FAQ,30/09/2024,1950,1950,1950
Chattisgarh,Jashpur,Jaspur,Garlic,Desi,FAQ,30/09/2024,4000,4000,4000
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,FAQ,30/09/2024,2200,2200,2200
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,FAQ,30/09/2024,2200,2200,2200
Chattisgarh,Kanker,Pakhanjur,Paddy(Dhan)(Common),"Paddy fine",FAQ,30/09/2024,2000,2000,2000
Chattisgarh,Korba,Katghora,"Kodo Millet(Varagu)",Other,FAQ,30/09/2024,2600,2600,2600
Chattisgarh,Raigarh,Baramkela,Paddy(Dhan)(Common),"Paddy Coarse",FAQ,30/09/2024,2050,2060,2050
Goa,"South Goa",Curchorem,Coconut,Medium,FAQ,30/09/2024,770,1100,935
Gujarat,Amreli,Amreli,"Castor Seed","Castor seed",FAQ,30/09/2024,5425,6425,6300
Gujarat,Amreli,Amreli,"Corriander seed","Coriander Seed",FAQ,30/09/2024,4000,6175,6100
Gujarat,Amreli,Babra,"Castor Seed",Other,FAQ,30/09/2024,5000,7625,6310
Gujarat,Amreli,Bagasara,Soyabean,Yellow,FAQ,30/09/2024,2800,4350,3575
Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",FAQ,30/09/2024,2575,2855,2715
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/09/2024,850,1250,1000
Gujarat,Amreli,Dhari,Cotton,Local,FAQ,30/09/2024,5100,7260,6530
Gujarat,Amreli,Dhari,Wheat,"Lokwan Gujrat",FAQ,30/09/2024,2555,2575,2575
Gujarat,Amreli,Rajula,Jowar(Sorghum),Local,FAQ,30/09/2024,2000,4105,3053
Gujarat,Amreli,Rajula,Soyabean,Soyabeen,FAQ,30/09/2024,4125,4125,4125
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,30/09/2024,6255,7610,6933
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,30/09/2024,2900,3125,3013
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,30/09/2024,2760,2990,2875
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bottle gourd","Bottle Gourd",FAQ,30/09/2024,500,1000,900
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,30/09/2024,1250,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,30/09/2024,3500,4000,3800
Gujarat,Anand,Borsad,Wheat,Other,FAQ,30/09/2024,2400,2450,2425
Gujarat,Anand,Umreth,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,30/09/2024,2300,2350,2340
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,30/09/2024,2640,3207.5,2750
Gujarat,Banaskanth,Deesa(Bhildi),"Bajra(Pearl Millet/Cumbu)",Other,FAQ,30/09/2024,2280,2545,2425
Gujarat,Banaskanth,Deesa(Bhildi),Mustard,Other,FAQ,30/09/2024,6000,6000,6000
Gujarat,Banaskanth,Dhanera,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,30/09/2024,2320,2445,2390
Gujarat,Banaskanth,Palanpur,"Castor Seed","Castor seed",FAQ,30/09/2024,6550,6635,6592
Gujarat,Banaskanth,Palanpur,Wheat,Other,FAQ,30/09/2024,2625,2830,2727
Gujarat,Banaskanth,Thara,Wheat,Other,FAQ,30/09/2024,2625,3040,2832.5
Gujarat,Banaskanth,Thara(Shihori),"Castor Seed",Caster,FAQ,30/09/2024,6600,6640,6620
Gujarat,Banaskanth,Vav,"Cummin Seed(Jeera)",Other,FAQ,30/09/2024,21000,25125,23500
Gujarat,Bharuch,Ankleshwar,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/09/2024,1000,1500,1200
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,30/09/2024,2000,4500,3000
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,FAQ,30/09/2024,2000,3000,2500
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,FAQ,30/09/2024,1200,3000,1500
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,30/09/2024,3500,8500,5000
Gujarat,Bharuch,Ankleshwar,"Pointed gourd (Parval)","Pointed gourd (Parval)",FAQ,30/09/2024,2000,4000,3000
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,30/09/2024,5800,6200,6000
Gujarat,Bharuch,Jambusar,Rice,Other,FAQ,30/09/2024,3000,3600,3300
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,30/09/2024,2800,3200,3000
