State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,50.0,80.0,60.0
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Coconut,Coconut,FAQ,2024-09-30,10.0,20.0,15.0
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Leafy Vegetable,Leafy Vegetables,FAQ,2024-09-30,30.0,50.0,40.0
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Papaya,Papaya,Medium,2024-09-30,30.0,50.0,40.0
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,FAQ,2024-09-30,5600.0,6000.0,5800.0
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2024-09-30,4800.0,6150.0,6116.0
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2024-09-30,4950.0,5250.0,5100.0
Assam,Barpeta,Barpeta Road,Banana,Besrai,Local,2024-09-30,1500.0,4500.0,2800.0
Assam,Barpeta,Barpeta Road,Cabbage,Cabbage,Local,2024-09-30,1500.0,1700.0,1700.0
Assam,Barpeta,Barpeta Road,Lemon,Lemon,Local,2024-09-30,1200.6,1334.0,1334.0
Assam,Cachar,Sonabarighat,Bhindi(Ladies Finger),Bhindi,Local,2024-09-30,4300.0,4400.0,4300.0
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,2024-09-30,2800.0,2900.0,2800.0
Assam,Cachar,Sonabarighat,Cauliflower,Cauliflower,Local,2024-09-30,6400.0,6500.0,6400.0
Assam,Goalpara,Darangiri Banana Market,Capsicum,Capsicum,Local,2024-09-30,2400.0,2800.0,2600.0
Assam,Goalpara,Darangiri Banana Market,Tomato,Tomato,Local,2024-09-30,4000.0,4500.0,4500.0
Assam,Golaghat,Golaghat,Cabbage,Cabbage,Local,2024-09-30,2200.0,2400.0,2400.0
Assam,Jorhat,Jorhat,Ginger(Green),Green Ginger,Local,2024-09-30,7000.0,8000.0,7000.0
Assam,Jorhat,Jorhat,Lemon,Lemon,Local,2024-09-30,1200.6,1334.0,1334.0
Assam,Karbi Anglong,Sariahjan,Cauliflower,Cauliflower,Local,2024-09-30,7000.0,8000.0,8000.0
Assam,Karbi Anglong,Sariahjan,Pumpkin,Pumpkin,Local,2024-09-30,1600.0,1800.0,1600.0
Assam,Kokrajhar,Serfanguri,Bhindi(Ladies Finger),Bhindi,Local,2024-09-30,2600.0,3000.0,2800.0
Assam,Kokrajhar,Serfanguri,Capsicum,Capsicum,Local,2024-09-30,2500.0,2800.0,2600.0
Assam,Lakhimpur,Anand Bazar,Cabbage,Cabbage,Local,2024-09-30,1800.0,2200.0,2200.0
Assam,Lakhimpur,Anand Bazar,Lemon,Lemon,Local,2024-09-30,867.1,933.8,933.8
Assam,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,2024-09-30,4000.0,4200.0,4200.0
